부산광역시,amount,pop,house,ground
　　　중구,1160,41439,7732,7799
　　　서구,713,105303,8631,8192
　　　동구,739,87246,8785,7423
　　　영도구,738,113224,8991,6432
　　　부산진구,2232,351403,15765,28413
　　　동래구,1880,263345,9518,14291
　　　남구,1438,269111,11859,14392
　　　북구,1571,280177,8239,15823
　　　해운대구,3261,389535,11293,16882
　　　사하구,2349,312057,13736,15623
　　　금정구,1212,237219,10508,9438
　　　강서구,637,136734,9351,15283
　　　연제구,1108,204947,7901,13824
　　　수영구,1059,171461,8396,12231
　　　사상구,1359,216350,8134,10234
　　　기장군,2124,169465,7101,24839
